,Ead_NNP,Ead_reg,ontop_element,ad_place_num
1291,-1.5638241767883256,-1.4821526669225793,Rh,2
1292,-1.5056533813476491,-1.4296536307889485,Rh,1
1293,-1.374920845031732,-1.3794148197245486,Rh,1
1294,-1.5360507965087855,-1.4265877143275973,Rh,1
1295,-1.4938950538635218,-1.4127664905926245,Rh,1
1296,-1.362671375274652,-1.393139537105403,Rh,1
1297,-1.605186462402341,-1.5073031899720113,Rh,2
1298,-1.598759174346922,-1.4998850261680483,Rh,2
1299,-1.5496330261230424,-1.44441679018068,Rh,2
1300,-1.541604995727532,-1.4925730403789652,Rh,2
1301,-1.758406162261955,-1.6006734029621803,Rh,3
1302,-1.560249328613274,-1.43753792659091,Rh,1
1303,-1.5164742469787518,-1.4249071581435633,Rh,1
1304,-1.502973556518552,-1.4872754933236778,Rh,2
1305,-1.4023270606994584,-1.3845870556969282,Rh,1
1306,-1.2932391166686958,-1.3758400898057521,Rh,1
1307,-1.5170469284057564,-1.4644884298094294,Rh,2
1308,-1.4021077156066886,-1.3830273952724115,Rh,1
1309,-1.5383954048156685,-1.4668325460230898,Rh,2
1310,-1.4996471405029252,-1.4131163524079915,Rh,1
1311,-1.4441461563110307,-1.407362345015467,Rh,1
1312,-1.4452013969421331,-1.4187095158769853,Rh,1
1313,-1.4481596946716315,-1.3993539996515663,Rh,1
1314,-1.5580763816833452,-1.5386275966431082,Rh,3
1315,-2.1787214279174743,-1.914016880746877,Ru,1
1316,-2.0983395576477,-2.0491949717156905,Ru,2
